assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
1,0,26121,2,"Junior Hoilett (43, 69)",Steve Kean,Blackburn,4,5,37,34,4,3,12,31,Saturday 10 March 2012,10,10,10,11,0,0,0,,Terry Connor,Wolves,3,3,0,0,0,0,Chris Foy,0-2,3,3,2011-2012,4,7,5,3,28,25,9,10,Molineux Stadium,2,1
0,2,21551,1,Djibril Cissé (48),Mark Hughes,QPR,3,8,57,44,6,10,19,27,Saturday 10 March 2012,14,15,14,13,0,1,2,"Darren Pratley (37),Ivan Klasnic (86)",Owen Coyle,Bolton,0,1,0,0,0,0,Martin Atkinson,2-1,1,3,2011-2012,8,6,4,3,27,30,12,9,Macron Stadium,2,2
2,0,36034,3,"Wayne Rooney (45),Ashley Young (60, 69)",Alex Ferguson,Man Utd,3,0,59,17,3,7,10,17,Sunday 4 March 2012,10,10,10,9,0,2,1,Jermain Defoe (87),Harry Redknapp,Spurs,0,1,0,0,0,0,Martin Atkinson,1-3,5,2,2011-2012,1,8,5,6,17,28,6,14,White Hart Lane,2,1
0,4,24034,0,,Terry Connor,Wolves,8,7,22,18,7,7,25,17,Sunday 4 March 2012,10,7,7,9,0,0,5,"Pavel Pogrebnyak (36, 44, 61),Clint Dempsey (56, 83)",Martin Jol,Fulham,1,4,0,0,0,0,Michael Jones,5-0,7,1,2011-2012,5,7,1,12,11,19,6,19,Craven Cottage,2,1
0,1,52388,1,Nicklas Bendtner (24 Pen),Martin O'Neill,Sunderland,11,3,53,21,4,18,10,40,Sunday 4 March 2012,15,14,13,11,1,0,1,Shola Ameobi (90+1),Alan Pardew,Newcastle,2,1,1,1,2,0,Mike Dean,1-1,4,3,2011-2012,1,14,4,5,13,26,5,19,St. James' Park,3,5
1,1,20717,1,Charles N'Zogbia (24),Alex McLeish,Aston Villa,4,7,49,22,8,4,14,22,Saturday 3 March 2012,5,10,10,5,0,0,1,David Dunn (85),Steve Kean,Blackburn,2,1,0,0,0,0,Howard Webb,1-1,3,4,2011-2012,4,7,5,4,24,34,9,11,Ewood Park,0,1
0,1,47219,0,,Owen Coyle,Bolton,4,0,21,21,4,7,7,7,Saturday 3 March 2012,7,14,14,6,0,0,2,"Grétar Steinsson (23 OG),Mario Balotelli (69)",Roberto Mancini,Man City,0,2,0,0,0,0,Mark Clattenburg,2-0,7,5,2011-2012,3,12,6,8,15,13,9,20,Etihad Stadium,0,0
1,1,18033,1,Royston Drenthe (31),David Moyes,Everton,5,2,33,35,7,7,16,18,Saturday 3 March 2012,16,18,17,12,2,2,1,Bobby Zamora (36),Mark Hughes,QPR,3,0,0,0,0,0,Kevin Friend,1-1,4,2,2011-2012,5,12,2,5,21,26,7,17,Loftus Road Stadium,2,1
0,1,27483,0,,Paul Lambert,Norwich,2,3,50,47,2,8,8,26,Saturday 3 March 2012,17,12,11,16,2,1,1,Matthew Etherington (72),Tony Pulis,Stoke,0,4,0,0,0,0,Michael Oliver,1-0,4,3,2011-2012,2,6,3,4,28,52,5,10,Britannia Stadium,2,0
0,1,24838,0,,Andre Villas-Boas,Chelsea,6,5,40,25,4,14,22,22,Saturday 3 March 2012,10,9,9,9,0,0,1,Gareth McAuley (82),Roy Hodgson,West Brom,1,2,0,0,0,0,Phil Dowd,1-0,6,2,2011-2012,6,11,2,7,16,20,8,18,The Hawthorns,1,3
